Bigram frequency
Total 2-grams: 4575

Rank  Gram  Count  Percent
1     RM    100    2.19%
2     VS    90     1.97%
3     GH    89     1.95%
4     VI    84     1.84%
5     RG    74     1.62%
6     ZM    73     1.60%
7     LM    71     1.55%
8     GR    67     1.46%
9     VM    67     1.46%
10    MW    66     1.44%
11    HV    63     1.38%
12    SG    60     1.31%
13    LO    56     1.22%
14    LI    55     1.20%
15    MG    55     1.20%
16    GV    51     1.11%
17    IV    51     1.11%
18    MT    48     1.05%
19    LG    46     1.01%
20    SL    45     0.98%
21    SR    44     0.96%
22    WV    44     0.96%
23    RV    43     0.94%
24    HL    41     0.90%
25    RZ    41     0.90%
26    IR    40     0.87%
27    SV    40     0.87%
28    VL    39     0.85%
29    EV    38     0.83%
30    ML    36     0.79%
