Letter frequency
Total letters: 4576

Rank  Letter  Count  Percent
1     V       489    10.69%
2     R       402    8.78%
3     M       396    8.65%
4     G       383    8.37%
5     L       365    7.98%
6     S       339    7.41%
7     Z       338    7.39%
8     I       289    6.32%
9     O       208    4.55%
10    X       190    4.15%
11    H       188    4.11%
12    W       169    3.69%
13    F       141    3.08%
14    N       112    2.45%
15    T       103    2.25%
16    K       93     2.03%
17    E       79     1.73%
18    D       77     1.68%
19    B       71     1.55%
20    Y       52     1.14%
21    U       51     1.11%
22    P       15     0.33%
23    J       10     0.22%
24    A       6      0.13%
25    C       5      0.11%
26    Q       5      0.11%
